rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
0.7383 -0.2167 -0.5401 -0.3409 0.2778 -0.7505 -0.599 -0.0266 0.6529 -0.4238 -0.5068 -0.3705 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7703 0.2333 -0.569 0.1688 0.946 -0.1126 0.2982 0.058 0.6744 0.296 -0.6528 0.1769 0.7794 -0.047 -0.6246 -0.0146 0.8997 -0.1548 0.2704 0.3057
0.7383 -0.2167 -0.5401 -0.3409 0.2778 -0.7505 -0.599 -0.0266 0.6529 -0.4238 -0.5068 -0.3705 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7703 0.2333 -0.569 0.1688 0.946 -0.1126 0.2982 0.058 0.6744 0.296 -0.6528 0.1769 0.7794 -0.047 -0.6246 -0.0146 0.8997 -0.1548 0.2704 0.3057
0.7383 -0.2167 -0.5401 -0.3409 0.2773 -0.7509 -0.5988 -0.0269 0.6529 -0.4238 -0.5068 -0.3705 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7703 0.2333 -0.569 0.1688 0.9458 -0.1125 0.2989 0.0585 0.6744 0.296 -0.6528 0.1769 0.7794 -0.047 -0.6246 -0.0146 0.8997 -0.1548 0.2704 0.3057
0.7383 -0.2167 -0.5401 -0.3409 0.2773 -0.7509 -0.5988 -0.0269 0.6529 -0.4238 -0.5068 -0.3705 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7703 0.2333 -0.569 0.1688 0.9458 -0.1125 0.2989 0.0585 0.6744 0.296 -0.6528 0.1769 0.7806 -0.044 -0.6234 -0.012 0.8997 -0.1548 0.2704 0.3057
0.7383 -0.2167 -0.5401 -0.3409 0.2773 -0.7509 -0.5988 -0.0269 0.6547 -0.4239 -0.506 -0.3683 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7668 0.238 -0.5712 0.1702 0.9458 -0.1125 0.2989 0.0585 0.6744 0.296 -0.6528 0.1769 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
0.7383 -0.2167 -0.5401 -0.3409 0.2773 -0.7509 -0.5988 -0.0269 0.6547 -0.4239 -0.506 -0.3683 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7668 0.238 -0.5712 0.1702 0.9458 -0.1125 0.2989 0.0585 0.6752 0.2981 -0.6499 0.1812 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
0.7393 -0.2147 -0.5405 -0.3395 0.2773 -0.7509 -0.5988 -0.0269 0.6547 -0.4239 -0.506 -0.3683 0.4687 0.2459 -0.7444 -0.4072 0.475 -0.5555 -0.4971 -0.4675 0.7668 0.238 -0.5712 0.1702 0.9458 -0.1125 0.2989 0.0585 0.6752 0.2981 -0.6499 0.1812 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
0.7393 -0.2147 -0.5405 -0.3395 0.2773 -0.7509 -0.5988 -0.0269 0.6547 -0.4239 -0.506 -0.3683 0.4711 0.2463 -0.7427 -0.4072 0.4753 -0.5527 -0.5013 -0.4662 0.7668 0.238 -0.5712 0.1702 0.9458 -0.1125 0.2989 0.0585 0.6752 0.2981 -0.6499 0.1812 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
0.7393 -0.2147 -0.5405 -0.3395 0.2773 -0.7509 -0.5988 -0.0269 0.6547 -0.4239 -0.506 -0.3683 0.4711 0.2463 -0.7427 -0.4072 0.4753 -0.5527 -0.5013 -0.4662 0.7668 0.238 -0.5712 0.1702 0.9458 -0.1125 0.2989 0.0585 0.6752 0.2981 -0.6499 0.1812 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
0.7393 -0.2147 -0.5405 -0.3395 0.2751 -0.7498 -0.6011 -0.0278 0.6547 -0.4239 -0.506 -0.3683 0.4711 0.2463 -0.7427 -0.4072 0.4753 -0.5527 -0.5013 -0.4662 0.7668 0.238 -0.5712 0.1702 0.9457 -0.1125 0.2993 0.0584 0.6752 0.2981 -0.6499 0.1812 0.7806 -0.044 -0.6234 -0.012 0.8994 -0.1554 0.2714 0.3055
