rt-uaw rt-uax rt-uay rt-uaz rt-faw rt-fax rt-fay rt-faz rt-thw rt-thx rt-thy rt-thz rt-llw rt-llx rt-lly rt-llz rt-ftw rt-ftx rt-fty rt-ftz lt-uaw lt-uax lt-uay lt-uaz lt-faw lt-fax lt-fay lt-faz lt-thw lt-thx lt-thy lt-thz lt-llw lt-llx lt-lly lt-llz lt-ftw lt-ftx lt-fty lt-ftz 
-0.7181 0.2675 0.5264 0.3682 -0.5165 0.8372 -0.1174 -0.1357 -0.7719 0.1539 0.6166 0.02 -0.7083 -0.5428 0.0775 0.4445 -0.5427 -0.3304 0.6511 -0.4153 -0.7502 -0.1544 0.6428 -0.0116 -0.9381 0.0303 -0.338 -0.0692 -0.6837 -0.0249 0.7292 -0.0157 -0.6754 0.1152 0.7283 0.0138 -0.944 -0.0567 -0.3194 0.0601
-0.7181 0.2675 0.5264 0.3682 -0.5165 0.8372 -0.1174 -0.1357 -0.7719 0.1539 0.6166 0.02 -0.7083 -0.5428 0.0775 0.4445 -0.5488 -0.3197 0.651 -0.4157 -0.7502 -0.1544 0.6428 -0.0116 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.944 -0.0567 -0.3194 0.0601
-0.7181 0.2675 0.5264 0.3682 -0.5165 0.8372 -0.1174 -0.1357 -0.7719 0.1539 0.6166 0.02 -0.7083 -0.5428 0.0775 0.4445 -0.5488 -0.3197 0.651 -0.4157 -0.7502 -0.1544 0.6428 -0.0116 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5165 0.8372 -0.1174 -0.1357 -0.7719 0.1539 0.6166 0.02 -0.7075 -0.5444 0.0772 0.4438 -0.5488 -0.3197 0.651 -0.4157 -0.7502 -0.1544 0.6428 -0.0116 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7719 0.1539 0.6166 0.02 -0.7075 -0.5444 0.0772 0.4438 -0.5488 -0.3197 0.651 -0.4157 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7719 0.1539 0.6166 0.02 -0.7075 -0.5444 0.0772 0.4438 -0.5488 -0.3197 0.651 -0.4157 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7719 0.1539 0.6166 0.02 -0.7075 -0.5444 0.0772 0.4438 -0.5488 -0.3197 0.651 -0.4157 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7719 0.1539 0.6166 0.02 -0.7075 -0.5444 0.0772 0.4438 -0.5488 -0.3197 0.651 -0.4157 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6837 -0.0249 0.7292 -0.0157 -0.6725 0.1238 0.7294 0.0198 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7712 0.1552 0.6169 0.0237 -0.7075 -0.5444 0.0772 0.4438 -0.5485 -0.3219 0.6503 -0.4156 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6857 -0.0227 0.7275 -0.0075 -0.6699 0.1445 0.7277 0.0266 -0.9473 -0.0574 -0.3088 0.0625
-0.7172 0.2709 0.5236 0.3717 -0.5195 0.8345 -0.1219 -0.1375 -0.7712 0.1552 0.6169 0.0237 -0.7075 -0.5444 0.0772 0.4438 -0.5485 -0.3219 0.6503 -0.4156 -0.7507 -0.1536 0.6425 0.0018 -0.9413 0.0184 -0.3289 -0.0733 -0.6857 -0.0227 0.7275 -0.0075 -0.6699 0.1445 0.7277 0.0266 -0.9473 -0.0574 -0.3088 0.0625
-0.7169 0.2764 0.5207 0.3723 -0.5195 0.8345 -0.1219 -0.1375 -0.7712 0.1552 0.6169 0.0237 -0.7056 -0.5437 0.0817 0.447 -0.5485 -0.3219 0.6503 -0.4156 -0.7507 -0.1536 0.6425 0.0018 -0.9402 0.0146 -0.3315 -0.0772 -0.6857 -0.0227 0.7275 -0.0075 -0.6699 0.1445 0.7277 0.0266 -0.9487 -0.0567 -0.3049 0.0621
